"Geography, province of destination","N.L, province of destination","P.E.I, province of destination","Nova Scotia, province of destination","New Brunswick, province of destination","Quebec, province of destination","Ontario, province of destination","Manitoba, province of destination","Saskatchewan, province of destination","Alberta, province of destination","British Columbia, province of destination","Yukon, province of destination","Northwest Territories, province of destination 5","Nunavut, province of destination 5"
"N.L, province of origin 6",,64,853,348,263,1549,81,86,1439,590,4,59,48
"P.E.I, province of origin 6",89,,484,533,120,1240,80,6,273,283,61,0,27
"Nova Scotia, province of origin 6",572,478,,1615,656,3616,239,282,1540,1338,72,90,37
"New Brunswick, province of origin 6",278,284,1979,,1917,2724,125,108,1366,754,9,29,21
"Quebec, province of origin 6",273,194,856,1538,,16370,528,328,2433,4485,61,44,123
"Ontario, province of origin 6",2549,2348,9970,6112,16469,,3262,3040,16849,20728,347,471,437
"Manitoba, province of origin 6",36,51,479,335,858,5559,,1541,5051,5208,32,59,56
"Saskatchewan, province of origin 6",161,63,394,185,456,5659,1310,,8235,5395,65,26,36
"Alberta, province of origin 6",1550,469,3139,1890,2733,16315,2148,4946,,31232,276,480,162
"British Columbia, province of origin 6",477,204,1982,762,2110,11497,1585,2063,15376,,283,198,42
"Yukon, province of origin 6",0,3,36,11,15,248,50,66,164,493,,44,3
"Northwest Territories, province of origin 5",78,10,155,107,97,258,35,78,631,286,158,,11
"Nunavut, province of origin 5",106,18,157,45,89,462,137,31,152,64,35,144,
